NSuff-|h	bw:ا/NSUFF_MASC_DU_NOM_POSS gloss:two stt:c cas:n form_gen:m form_num:d
PVSuff-~t	diac:َّ bw:تَ/PVSUFF_SUBJ:2MS gloss:you_[masc.sg.]_<verb> pos:verb per:2 asp:p mod:i form_gen:m form_num:s d1seg:َّ d1tok:َّ atbseg:َّ d3seg:َّ d2seg:َّ d2tok:َّ atbtok:َّ d3tok:َّ bwtok:_+تَ caphi:~_a
NSuff-i	diac:ِ bw:ِ/CASE_DEF_GEN gloss:[def.gen.] stt:c cas:g d1seg:ِ d1tok:ِ atbseg:ِ d3seg:ِ d2seg:ِ d2tok:ِ atbtok:ِ d3tok:ِ bwtok:_+ِ caphi:i
NSuff-a	diac:َ bw:َ/CASE_DEF_ACC gloss:[def.acc.] stt:c cas:a d1seg:َ d1tok:َ atbseg:َ d3seg:َ d2seg:َ d2tok:َ atbtok:َ d3tok:َ bwtok:_+َ caphi:a
PVSuff-~t	diac:ِّ bw:تِ/PVSUFF_SUBJ:2FS gloss:you_[fem.sg.]_<verb> pos:verb per:2 asp:p mod:i form_gen:f form_num:s d1seg:ِّ d1tok:ِّ atbseg:ِّ d3seg:ِّ d2seg:ِّ d2tok:ِّ atbtok:ِّ d3tok:ِّ bwtok:_+تِ caphi:~_i
PVSuff-~n	diac:َّ bw:نَ/PVSUFF_SUBJ:3FP gloss:they_[fem.pl.]_<verb> pos:verb per:3 asp:p mod:i form_gen:f form_num:p d1seg:َّ d1tok:َّ atbseg:َّ d3seg:َّ d2seg:َّ d2tok:َّ atbtok:َّ d3tok:َّ bwtok:_+نَ caphi:~_a
PVSuff-|	bw:ا/PVSUFF_SUBJ:3MD gloss:they_(both)_<verb> pos:verb per:3 asp:p mod:i form_gen:m form_num:d
NSuff-u	diac:ُ bw:ُ/CASE_DEF_NOM gloss:[def.nom.] stt:c cas:n d1seg:ُ d1tok:ُ atbseg:ُ d3seg:ُ d2seg:ُ d2tok:ُ atbtok:ُ d3tok:ُ bwtok:_+ُ caphi:u
FWSuff-~a	diac:َّ bw:يَ/PRON_1S gloss:me enc0:1s_pron catib6:NOM ud:PRON d1seg:َّ d1tok:َّ atbseg:_+َّ d3seg:_+َّ d2seg:َّ d2tok:َّ atbtok:_+ِي d3tok:_+ِي bwtok:_+يَ caphi:~_a
PVSuff-a	diac:َ bw:َ/PVSUFF_SUBJ:3MS gloss:he;it_<verb> pos:verb per:3 asp:p mod:i form_gen:m form_num:s d1seg:َ d1tok:َ atbseg:َ d3seg:َ d2seg:َ d2tok:َ atbtok:َ d3tok:َ bwtok:_+َ caphi:a
NSuff-N	diac:ٌ bw:ٌ/CASE_INDEF_NOM gloss:[indef.nom.] stt:i cas:n d1seg:ٌ d1tok:ٌ atbseg:ٌ d3seg:ٌ d2seg:ٌ d2tok:ٌ atbtok:ٌ d3tok:ٌ bwtok:_+ٌ caphi:u_n
PVSuff-~t	diac:ُّ bw:تُ/PVSUFF_SUBJ:1S gloss:I_<verb> pos:verb per:1 asp:p mod:i form_num:s d1seg:ُّ d1tok:ُّ atbseg:ُّ d3seg:ُّ d2seg:ُّ d2tok:ُّ atbtok:ُّ d3tok:ُّ bwtok:_+تُ caphi:~_u
IVSuff-|	bw:ا/IVSUFF_SUBJ:D_MOOD:SJ gloss:[du.] pos:verb asp:i form_num:d
CVSuff-o	diac:ْ bw:ْ/CVSUFF_SUBJ:2MS gloss:you_<verb> pos:verb per:2 asp:c mod:i form_gen:m form_num:s d1seg:ْ d1tok:ْ atbseg:ْ d3seg:ْ d2seg:ْ d2tok:ْ atbtok:ْ d3tok:ْ bwtok:_+ْ
NSuff-F	diac:ً bw:ً/CASE_INDEF_ACC gloss:[indef.acc.] stt:i cas:a d1seg:ً d1tok:ً atbseg:ً d3seg:ً d2seg:ً d2tok:ً atbtok:ً d3tok:ً bwtok:_+ً caphi:a_n
NSuff-K	diac:ٍ bw:ٍ/CASE_INDEF_GEN gloss:[indef.gen.] stt:i cas:g d1seg:ٍ d1tok:ٍ atbseg:ٍ d3seg:ٍ d2seg:ٍ d2tok:ٍ atbtok:ٍ d3tok:ٍ bwtok:_+ٍ caphi:i_n
PVSuff-0a	bw:(null)/PVSUFF_SUBJ:3MS gloss:he;it_<verb> pos:verb per:3 asp:p mod:i form_gen:m form_num:s
IVSuff-~n	diac:َّ bw:نَ/IVSUFF_SUBJ:FP gloss:[fem.pl.] pos:verb asp:i form_gen:f form_num:p d1seg:َّ d1tok:َّ atbseg:َّ d3seg:َّ d2seg:َّ d2tok:َّ atbtok:َّ d3tok:َّ bwtok:_+نَ caphi:~_a
ه	NSuff-h	diac:ه bw:هُ/POSS_PRON_3MS gloss:its;his stt:c enc0:3ms_poss catib6:NOM ud:PRON d1seg:هُ d1tok:هُ atbseg:_+هُ d3seg:_+هُ d2seg:هُ d2tok:هُ atbtok:_+هُ d3tok:_+هُ bwtok:_+هُ caphi:h_u
ه	NSuff-ap	diac:َة bw:َة/NSUFF_FEM_SG gloss:[fem.sg.] form_gen:f form_num:s d1seg:َة d1tok:َة atbseg:َة d3seg:َة d2seg:َة d2tok:َة atbtok:َة d3tok:َة bwtok:_+َة caphi:a
ه	NSuff-api	diac:َةِ bw:َة/NSUFF_FEM_SG+ِ/CASE_DEF_GEN gloss:[fem.sg.] stt:c cas:g form_gen:f form_num:s d1seg:َةِ d1tok:َةِ atbseg:َةِ d3seg:َةِ d2seg:َةِ d2tok:َةِ atbtok:َةِ d3tok:َةِ bwtok:_+َة_+ِ caphi:a_t_i
ه	NSuff-apF	diac:َةً bw:َة/NSUFF_FEM_SG+ً/CASE_INDEF_ACC gloss:[fem.sg.] stt:i cas:a form_gen:f form_num:s d1seg:َةً d1tok:َةً atbseg:َةً d3seg:َةً d2seg:َةً d2tok:َةً atbtok:َةً d3tok:َةً bwtok:_+َة_+ً caphi:a_t_a_n
ه	PVSuff-~th	diac:ُّهُ bw:تُ/PVSUFF_SUBJ:1S+هُ/PVSUFF_DO:3MS gloss:I_<verb>_it;him pos:verb per:1 asp:p mod:i enc0:3ms_dobj form_num:s catib6:NOM ud:PRON d1seg:ُّ_+هُ d1tok:ُّهُ atbseg:ُّ_+هُ d3seg:ُّ_+هُ d2seg:ُّ_+هُ d2tok:ُّهُ atbtok:ُّ_+هُ d3tok:ُّ_+هُ bwtok:_+تُ_+هُ caphi:~_u_h_u
ه	NSuff-h	diac:ُهُ bw:ُ/CASE_DEF_NOM+هُ/POSS_PRON_3MS gloss:its;his stt:c cas:n enc0:3ms_poss catib6:NOM ud:PRON d1seg:ُهُ d1tok:ُهُ atbseg:ُ_+هُ d3seg:ُ_+هُ d2seg:ُهُ d2tok:ُهُ atbtok:ُ_+هُ d3tok:ُ_+هُ bwtok:_+ُ_+هُ caphi:u_h_u
ه	PVSuff-ah	diac:َهُ bw:َ/PVSUFF_SUBJ:3MS+هُ/PVSUFF_DO:3MS gloss:he;it_<verb>_it;him pos:verb per:3 asp:p mod:i enc0:3ms_dobj form_gen:m form_num:s catib6:NOM ud:PRON d1seg:َ_+هُ d1tok:َهُ atbseg:َ_+هُ d3seg:َ_+هُ d2seg:َ_+هُ d2tok:َهُ atbtok:َ_+هُ d3tok:َ_+هُ bwtok:_+َ_+هُ caphi:a_h_u
ه	NSuff-apa	diac:َةَ bw:َة/NSUFF_FEM_SG+َ/CASE_DEF_ACC gloss:[fem.sg.] stt:c cas:a form_gen:f form_num:s d1seg:َةَ d1tok:َةَ atbseg:َةَ d3seg:َةَ d2seg:َةَ d2tok:َةَ atbtok:َةَ d3tok:َةَ bwtok:_+َة_+َ caphi:a_t_a
ه	NSuff-apK	diac:َةٍ bw:َة/NSUFF_FEM_SG+ٍ/CASE_INDEF_GEN gloss:[fem.sg.] stt:i cas:g form_gen:f form_num:s d1seg:َةٍ d1tok:َةٍ atbseg:َةٍ d3seg:َةٍ d2seg:َةٍ d2tok:َةٍ atbtok:َةٍ d3tok:َةٍ bwtok:_+َة_+ٍ caphi:a_t_i_n
ه	FWSuff-hi	diac:هِ bw:هِ/PRON_3MS gloss:it;him enc0:3ms_pron catib6:NOM ud:PRON d1seg:هِ d1tok:هِ atbseg:_+هِ d3seg:_+هِ d2seg:هِ d2tok:هِ atbtok:_+هُ d3tok:_+هُ bwtok:_+هِ caphi:h_i
ه	FWSuff-hu-him	diac:هُ bw:هُ/PRON_3MS gloss:it;him enc0:3ms_pron catib6:NOM ud:PRON d1seg:هُ d1tok:هُ atbseg:_+هُ d3seg:_+هُ d2seg:هُ d2tok:هُ atbtok:_+هُ d3tok:_+هُ bwtok:_+هُ caphi:h_u
ه	NSuff-apu	diac:َةُ bw:َة/NSUFF_FEM_SG+ُ/CASE_DEF_NOM gloss:[fem.sg.] stt:c cas:n form_gen:f form_num:s d1seg:َةُ d1tok:َةُ atbseg:َةُ d3seg:َةُ d2seg:َةُ d2tok:َةُ atbtok:َةُ d3tok:َةُ bwtok:_+َة_+ُ caphi:a_t_u
